carrier,credit
nuclear,-15
geothermal,-24
biomass,-27.5
solar,-27.5
onwind,-27.5
offwind-ac,-27.5
offwind-dc,-27.5
ethanol carbon capture retrofit,-85
ammonia carbon capture retrofit,-85
steel carbon capture retrofit,-85
cement carbon capture retrofit,-85
direct air capture,-180
Alkaline electrolyzer large size,-90
PEM electrolyzer small size,-90
SOEC,-90
