state,state_fraction,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
US,1.0000016571573456,25344.606,25662.442566003596,25984.26499324682,26310.123266821127,26640.067998661023,26974.15043540503,27312.422466355267,27654.93663153684,28001.746129858286,28352.904827374383,28708.46726565255,29068.48867024419,29230.2722507873,29392.95625402628,29556.545691353687,29721.045602053484,29886.46105345627,30052.797141095387
AL,0.003267914285193465,82.824,83.8626626544,84.91435076168375,85.97922766884571,87.05745877134964,88.14921153881762,89.2546555410413,90.37396247431928,91.50730618812472,92.6548627121075,93.81681028343495,94.99332937447538,95.52202424844195,96.05366162659908,96.58825788574808,97.12582949383699,97.66639301046789,98.20996508740694
AK,0.03702420941165943,938.364,950.1316475783999,962.0468685180216,974.1115134773586,986.3274563232727,998.6965944220402,1011.2208489340492,1023.9021651121914,1036.7425126039973,1049.7438857575587,1062.9083039312898,1076.2378118075706,1082.2277209729666,1088.2509675768138,1094.3077371619593,1100.3982163039077,1106.5225926165688,1112.6810547580355
AZ,0.023133916542241773,586.32,593.672804592,601.1178177652664,608.6561958707334,616.2891097606699,624.0177449705345,631.843301903112,639.7669960149581,647.7900580051831,655.9137340066029,664.139285779286,672.4679909065296,676.210678756719,679.9741969104074,683.7586613007319,687.5641885060672,691.3908957536165,695.2389009230228
AR,0.0020001889159373793,50.694,51.32973317639999,51.97343882827195,52.62521693524177,53.28516873073986,53.95339671772457,54.630004684602866,55.31509772135059,56.00878223583495,56.71116597034165,57.42235801830932,58.14246884127372,58.46606656585671,58.79146530593564,59.11867508524235,59.44770598329677,59.77856813571741,60.11127173453355
CA,0.1494805640300741,3788.526,3836.0363891555994,3884.142587097444,3932.8520656251976,3982.172390239377,4032.1112213164124,4082.6763152984527,4133.875525898084,4185.716805318161,4238.208205486933,4291.357879308663,4345.17408192992,4369.357582800309,4393.675679363142,4418.129120724206,4442.718660158508,4467.445055133486,4492.309067332337
CO,0.022656655226757128,574.224,581.4251134944,588.7165332726878,596.0993918298473,603.5748358630286,611.1440264496524,618.8081392277469,626.5683645785463,634.42590781138,642.3819893508793,650.4378449265328,658.5947257646184,662.260200570334,665.9460759426281,669.6524654228944,673.379483184452,677.1272440360634,680.8958634254705
CT,0.0027028236304008826,68.502,69.36105618119998,70.23088544234594,71.1116228843242,72.00340530226735,72.90637120680097,73.82066084555697,74.74641622495675,75.68378113226744,76.63290115793474,77.59392371819592,78.56699807797632,79.0042705624791,79.44397673072164,79.88613012761414,80.33074437345238,80.77783316433727,81.2274102725967
DE,0.0032380854529756747,82.068,83.09718196079999,84.1392704808976,85.19442741629032,86.26281665274705,87.34460413126249,88.43995787383099,89.54904800954354,90.67204680101202,91.80912867112477,92.96047023013787,94.12625030310593,94.65011936179289,95.17690406611288,95.70662064338323,96.23928541123604,96.7749147781208,97.31352524380992
DC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0.09546717751303768,2419.578,2449.9209598667994,2480.644438656105,2511.7532083035153,2543.2521005875665,2575.1460078801947,2607.4398839066166,2640.1387445147357,2673.247668454197,2706.771798165213,2740.7163405772835,2775.086567917927,2790.531589720331,2806.062572336078,2821.6799941886716,2837.3843363643277,2853.176082626797,2869.0557194322646
GA,0.037486556311035174,950.082,961.9965983291997,974.0606128702069,986.2759173919669,998.6444091616125,1011.1680092391447,1023.8486627758089,1036.6883393162152,1049.689033104244,1062.8527633927908,1076.1815747573944,1089.677537413797,1095.742246716027,1101.8407097643496,1107.9731144186142,1114.1396495842223,1120.340505217948,1126.5758723337892
HI,0.02784687203265263,705.768,714.6187541807999,723.5805021294796,732.6546357744844,741.8425644998779,751.1457153642451,760.5655333223418,770.1034814495239,779.7610411689897,789.5397124818734,799.4410142002235,809.4664841829027,813.9716508472711,818.5018914672266,823.0573455943766,827.6381535570166,832.2444564644535,836.876396211352
ID,0.002550365154621066,64.638,65.44859930279999,66.26936400721668,67.10042159348558,67.94190114052084,68.79393334596365,69.65665054648203,70.53018673832524,71.41467759813587,72.31026050402303,73.21707455689979,74.13526060208804,74.54786780849501,74.96277142156997,75.37998422219385,75.7995190623809,76.22138886567447,76.64560662754528
IL,0.046156803542339545,1169.826,1184.4963199355998,1199.3506144853843,1214.3911908013995,1229.6203849687633,1245.0405623685026,1260.654118044941,1276.4634770776952,1292.4710949583355,1308.6794579717698,1325.0910835824104,1341.708520825184,1349.1759337686885,1356.6849073456715,1364.2356728659945,1371.8284629268974,1379.4635114201633,1387.1410535393234
IN,0.006573943189331884,166.614,168.70343952839997,170.81908188214982,172.9612556604011,175.1302935831359,177.32653254284457,179.55031365685133,181.80198232029645,184.08188825978232,186.39038558769292,188.72783285719393,191.09459311792284,192.15814918537993,193.22762458048607,194.3030522478512,195.38446531544184,196.47189709560146,197.56538108607674
IA,0.001892473688484248,47.964,48.56549733839999,49.17453781432193,49.79121602323621,50.4156277468972,51.04786996821994,51.688040886343394,52.336239931882666,52.992567782372426,53.657126377904035,54.33001893695877,55.0113499724396,55.3175211418462,55.62539633751326,55.934985043369316,56.24629679612669,56.55934118557521,56.87412785487765
KS,0.002556993784002797,64.806,65.61870612359999,66.4416040696136,67.274821649609,68.11848827798808,68.97273499208701,69.83769447252877,70.71350106383095,71.60029079527202,72.49820140201919,73.40737234652136,74.32794484017013,74.74162444997258,75.15760643501135,75.57590360938603,75.99652885851444,76.41949513952937,76.84481548167794
KY,0.025177191549160403,638.106,646.1082321035999,654.2108169991183,662.4150131707773,670.7220948849468,679.1333523880609,687.6500921070185,696.2736368520957,705.0053260224031,713.8465158139195,722.7985794301354,731.862907295337,735.9361634921798,740.0320898037119,744.1508124027233,748.2924581642319,752.4571546693908,756.6450302094187
LA,0.00605525294021142,153.468,155.39258080079998,157.34129699959047,159.3144512687435,161.31235007632432,163.33530373369146,165.38362644369417,167.45763634947394,169.55765558387813,171.6840103194933,173.8370308193059,176.0170514879985,176.99669198976008,177.98178477869828,178.97236020006258,179.96844876799204,180.97008116645517,181.9772882501952
ME,0.0015411563312524963,39.06,39.549835836,40.04581450728494,40.54801304869499,41.05650946113345,41.571382723681744,42.09271280586634,42.620580680079584,43.155068334156184,43.69625878410749,44.244236087015466,44.79908535408829,45.048419143535,45.29914062512026,45.55125752218343,45.80477760104888,46.059708671265284,46.31605858584607
MD,0.01112449725989033,281.946,285.4817720076,289.06188471763846,292.68689418912845,296.35736345439665,300.0738626065328,303.8369688879363,307.6472667799723,311.5053480937532,315.41181206205766,319.36726543240303,323.3723225612846,325.1720835597317,326.9818613079917,328.80171155528745,330.6316903611195,332.47185409699335,334.3222594481556
MA,0.01950142764105309,494.256,500.4542667935999,506.7302635717517,513.0849651150995,519.519358428622,526.0344428949319,532.6312304295001,539.3107456378242,546.0740259745697,552.9221219047064,559.8560970666645,566.8770284375387,570.0320392270106,573.2046095445324,576.3948371194134,579.6028202248852,582.8286576811288,586.0724488583189
MI,0.013749434495055871,348.474,352.8440730443999,357.26894942682054,361.74931641400246,366.2858698914239,370.87931447138425,375.530363602444,380.2397396802368,385.0081741596708,389.83640766853745,394.7251901225455,399.6752808417962,401.89971358484934,404.13652663077715,406.3857888833934,408.64756963000275,410.9219385435355,413.2089656846934
MN,0.013968179264652998,354.018,358.4575981307999,362.952871485919,367.50451826607525,372.1132454278428,376.77976879345516,381.50481316198636,386.2891124219255,391.13340966516387,396.03845730241073,401.00501718005734,406.0338606985055,408.2936827536091,410.56608207434255,412.85112866073547,415.14889290240967,417.4594455807473,419.7828578710715
MS,0.00248739317549462,63.042,63.832584505199996,64.6330834144459,65.44362106031309,66.26432333458206,67.09531770779171,67.93673324903803,68.78870064602091,69.6513522253424,70.52482197305952,71.40924555549485,72.30476034030809,72.7071797144581,73.11183879387688,73.51875004386808,73.92792599911223,74.33937926405288,74.7531225132849
MO,0.008436588045598341,213.822,216.50345617319996,219.21853941568557,221.9676714310819,224.7512792114305,227.56979510350936,230.4236568759844,233.31330778740335,236.23919665504204,239.20177792461422,242.2015117408556,245.23886401899296,246.60376544057706,247.97626335751312,249.35640004885568,250.74421802896757,252.13976004882957,253.54306909735735
